"record_id","scope","category","item","low_thb","typical_thb","high_thb","unit","source_url_1","source_url_2","source_type","checked_at","confidence","review_frequency","publish_status","notes"
"BKK-TRN-03","Bangkok","Transport","Single BTS/MRT trip (reference fare)","16","30","59","THB/trip","https://thailandinsiderguide.com/en/getting-around/transportation/bts-skytrain-bangkok/","https://www.trip.com/guide/destination/bangkok-metro-map.html","secondary_guide (multiple) + operator distance-based","2026-08-28","medium","semi-annual","ok","Distance-based; BTS ~16-59, MRT ~17-45, ARL ~15-45. Verify operator fare tables for exact figures."
"BKK-CON-01","Bangkok","Connectivity","Tourist SIM/eSIM first month (8-30 day data plans)","299","699","1199","THB (one-off/first month)","https://thethaiger.com/guides/best-of/best-sim-card-thailand","https://www.dtac.co.th/en/prepaid/products/tourist-sim-privilege.html","operator_official (dtac) + secondary","2026-08-28","high","semi-annual","ok","AIS/True/dtac tourist tiers 299 (8-day) to 1,199 (30-day); passport registration required."
"BKK-CON-02","Bangkok","Connectivity","Monthly mobile data (postpaid or in-app top-up)","300","500","1099","THB/month","https://iglu.net/best-internet-and-phone-operators-thailand/","https://thethaiger.com/guides/best-of/best-sim-card-thailand","operator plans via secondary","2026-08-28","low","semi-annual","needs_verification","In-app data top-ups can be cheaper than tourist SIM; confirm current promos."
"BKK-CON-03","Bangkok","Connectivity","Home fibre broadband (100 Mbps-1 Gbps)","399","599","1299","THB/month","https://www.ais.th/fibre/en/package_byodbroadband.html","https://phuketexpatguide.com/blog/phuket-internet-providers-compared/","operator_official (AIS) + secondary","2026-08-28","high","semi-annual","ok","Prices ex-VAT; often 6/12/24-month contract + installation 500-2,000 THB; availability depends on address."
"BKK-CON-04","Bangkok","Connectivity","Travel eSIM data (e.g. Airalo-type, USD-priced)","300","500","1200","THB/month (approx)","https://www.airalo.com/","https://thethaiger.com/guides/best-of/best-sim-card-thailand","commercial eSIM provider","2026-08-28","low","semi-annual","needs_verification","USD-priced bundles (~US$9-35/month reported); convert at BoT rate; confirm live pricing."
"BKK-CWK-01","Bangkok","Coworking","Coworking day pass","290","400","900","THB/day","https://thailandcorner.com/business/coworking-bangkok","https://destinationunpacked.com/best-coworking-bangkok/","provider/aggregator + secondary","2026-08-28","medium","semi-annual","ok","HUBBA ~290, The Hive ~393, JustCo ~750, WeWork 600-900; VAT may apply."
"BKK-CWK-02","Bangkok","Coworking","Monthly hot-desk membership","3500","5000","8000","THB/month","https://thailandcorner.com/business/coworking-bangkok","https://destinationunpacked.com/best-coworking-bangkok/","provider/aggregator + secondary","2026-08-28","medium","semi-annual","ok","The Hive ~5,000; HUBBA 3,900-5,200; JustCo 4,950-5,500; WeWork 5,250-8,000. Confirm with venue."
"BKK-CWK-03","Bangkok","Coworking","Dedicated desk / 24-7 access","6000","8000","15000","THB/month","https://destinationunpacked.com/best-coworking-bangkok/","https://twocantravel.com/coworking-space-bangkok/","secondary_guide","2026-08-28","low","semi-annual","needs_verification","Venue-specific; request a quote."
"BKK-LEI-01","Bangkok","Leisure","Gym / fitness membership","1500","2500","8000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://globalcostdata.com/cost-of-living/by-country/thailand/bangkok/","secondary_guide","2026-08-28","low","semi-annual","needs_verification","Wide range (budget chain to premium); verify per gym."
"BKK-LEI-02","Bangkok","Leisure","Social / dining out / entertainment","4000","7000","20000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","secondary_guide","2026-08-28","low","quarterly","needs_verification","Highly discretionary; treat as a lifestyle slider, not a fixed cost."
"BKK-ARR-01","Bangkok","Arrival costs","Airport (BKK) to city transfer","45","300","1200","THB/trip (one-off)","https://www.machupicchu.org/getting-to-bangkok-2026-complete-transportation-guide.htm","https://www.trip.com/guide/destination/bangkok-metro-map.html","secondary_guide (multiple)","2026-08-28","medium","annual","ok","ARL ~15-45/150; metered taxi ~250-400 incl tolls; limo ~900-1,200. Low=rail, high=limo."
"BKK-ARR-02","Bangkok","Arrival costs","Transit stored-value card setup (Rabbit + MRT)","180","200","380","THB (one-off)","https://thailandinsiderguide.com/en/getting-around/transportation/bts-skytrain-bangkok/","https://www.machupicchu.org/getting-to-bangkok-2026-complete-transportation-guide.htm","secondary_guide (multiple)","2026-08-28","medium","annual","ok","Rabbit ~200 (100 fee + 100 credit); MRT card ~180; passport registration may be required."
"BKK-ARR-03","Bangkok","Arrival costs","Temporary serviced apartment / hotel (first 7-14 nights)","1200","2200","3800","THB/night (one-off)","https://www.cozycozy.com/us/bangkok-short-term-rentals","https://moveandstay.com/blog/serviced-apartments-in-bangkok-what-you-need-to-know","listing aggregator + secondary","2026-08-28","low","quarterly","needs_verification","~US$35-110/night reported; book flexible/refundable while flat-hunting; verify live rates."
"BKK-ARR-04","Bangkok","Arrival costs","Serviced apartment monthly (extended temp stay)","20000","30000","40000","THB/month (one-off period)","https://moveandstay.com/blog/serviced-apartments-in-bangkok-what-you-need-to-know","https://www.renthub.in.th/en/apartment/short-term-monthly/sukhumvit-road","secondary + listing platform","2026-08-28","low","quarterly","needs_verification","Bridge between arrival and long lease; utilities may be included; confirm terms."
"BKK-ARR-05","Bangkok","Arrival costs","Long-term rental deposit + advance (typical)","1","2","2","months of rent (one-off)","https://www.thailand-property.com/condos-for-rent/bts/on-nut","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","listing platform + secondary","2026-08-28","low","quarterly","needs_verification","NOT a government fee; lease terms vary (commonly 1-2 months deposit + 1 month advance). Verify per contract; do not publish as fixed."
