"name","group","status","com","io","app","co","couk","social_signal","clarity","distinctiveness","global_pronunciation","destination_edition_fit","domain_signal","social_handle_signal","conflict_risk_safe","trademark_registrability","conflict_findings","thai_pronunciation_note","source_url","checked_at"
"FreshWeeks","compound","preliminary_candidate","free?","free?","ERR","free?","free?","unclear","3","4","4","4","4","3","4","4","Most TLDs no-NS (.app probe errored - recheck); no in-sector brand found. Evokes the first weeks, but reads slightly product/programme-like and is less natural as a company name.","fresh-WEEKS; Thai easy","https://dns.google/resolve?name=freshweeks.com&type=NS","2026-08-29"
"LocalOrbit","compound","unclear","?","?","?","?","?","unclear","4","3","4","4","3","3","2","3",".com probe returned ambiguous (rate-limit); 'orbit' is a common startup metaphor with several LocalOrbit/orbit-local style names; recheck before shortlisting.","LOH-kǝl AW-bit; Thai easy","https://dns.google/resolve?name=localorbit.com&type=NS","2026-08-29"
"PlaceWise","compound","rejected","REG","REG","?","?","?","unclear","4","2","4","4","1","2","2","2",".com/.io registered; 'placewise' naming already used (Placewise retail/media); generic 'place' root.","plays-WUYZ; Thai easy","https://dns.google/resolve?name=placewise.com&type=NS","2026-08-29"
"NewGround","compound","rejected","REG","?","?","?","?","unclear","4","2","3","3","1","2","2","3",".com registered; 'break new ground' is a common idiom and NewGround/newgrounds is an established media brand.","nyuu-GROWND; Thai: 'nd/-ground' ending is awkward (no g-final cluster)","https://dns.google/resolve?name=newground.com&type=NS","2026-08-29"
"Suki","friendly","rejected","REG","REG","?","?","?","unclear","2","2","5","2","1","1","1","2",".com/.io registered; common given name and Thai word (สุกี/suki = suki hotpot, also 'like/love' in Thai) - confusing for a Thai launch and many existing brands.","SU-kee; in Thai also means 'hotpot'/'fancy' - brand ambiguity","https://dns.google/resolve?name=suki.com&type=NS","2026-08-29"
"Cleo","friendly","rejected","REG","REG","?","?","?","unclear","2","2","5","2","1","1","1","1",".com/.io registered; very popular fintech/AI brand name (Cleo) and common name; social handles saturated; weak mark.","KLEE-oh; Thai easy","https://dns.google/resolve?name=cleo.com&type=NS","2026-08-29"
"Nova","friendly","rejected","?","REG","?","?","?","unclear","2","1","5","2","1","1","1","1",".io registered; extremely common brand/word ('nova') across many sectors; bare human/star names are unregistrable-feeling and handles gone.","NOH-vah; Thai easy","https://dns.google/resolve?name=nova.io&type=NS","2026-08-29"
"Remy","friendly","rejected","REG","REG","?","?","?","unclear","2","2","5","2","1","1","1","1",".com/.io registered; common name (Rémy) and multiple brands; relocation-irrelevant.","REH-mee; Thai easy","https://dns.google/resolve?name=remy.com&type=NS","2026-08-29"
"Indi","friendly","rejected","REG","?","?","?","?","unclear","2","2","4","3","1","1","1","2",".com registered; reads as 'India/Indi' and a common name; ambiguous geography; handles likely gone.","IN-dee; Thai easy","https://dns.google/resolve?name=indi.com&type=NS","2026-08-29"
"Mara","friendly","rejected","?","REG","?","?","?","unclear","2","2","4","2","1","1","1","2",".io registered; common name and word across languages (also Thai-ish); weak/confusable.","MAH-rah; Thai easy","https://dns.google/resolve?name=mara.io&type=NS","2026-08-29"
